topic,term,beta
5,slaw,9.15922696931741e-22
6,slaw,3.748586261673387e-24
7,slaw,3.304053008685466e-15
8,slaw,3.5716574334038767e-4
9,slaw,2.7813177683019132e-28
10,slaw,1.4954758499377693e-48
1,rolled,7.885639405448496e-22
2,rolled,1.817591479998866e-29
3,rolled,1.7174879691544537e-15
4,rolled,3.6110187558737475e-12
5,rolled,3.80505149238004e-21
6,rolled,0.007233003248162477
7,rolled,4.0785209637957806e-23
8,rolled,9.96685997401213e-9
9,rolled,8.251840510734e-15
10,rolled,4.0006513979526415e-34
1,protein,9.640373315426359e-55
2,protein,1.6734985702747991e-53
3,protein,4.798488829483164e-28
4,protein,0.0012186123808374664
5,protein,3.107323677171102e-57
6,protein,1.7463987723620456e-32
7,protein,2.442638144236014e-34
8,protein,1.1124184390092635e-21
9,protein,9.909240021986652e-39
10,protein,1.7146484032687245e-55
1,free,4.4462571340318476e-41
2,free,4.503618008095587e-44
3,free,1.281576056521416e-9
4,free,0.002954210483115601
5,free,5.501295068239834e-34
6,free,4.253637424519727e-17
7,free,1.107120794009265e-31
8,free,5.065371632209633e-16
9,free,4.8140799555293176e-33
10,free,4.0910526928794724e-45
1,spanish,6.055064664415721e-29
2,spanish,2.7348642602856492e-34
3,spanish,3.547858095427185e-7
4,spanish,0.0051829052115251635
5,spanish,4.716105561747951e-12
6,spanish,0.0018745947257044024
7,spanish,9.148436125579308e-22
8,spanish,3.210585905363674e-15
9,spanish,1.2320050070137638e-11
10,spanish,6.182681718180129e-33
1,carte,6.794975168502235e-38
2,carte,1.4726092278723436e-42
3,carte,3.885119632032828e-24
4,carte,3.966007889113863e-20
5,carte,0.0029309146728793423
6,carte,7.2307305017551295e-16
7,carte,7.642010832126422e-60
8,carte,8.555928632937053e-27
9,carte,7.964951386049735e-9
10,carte,1.4475194445189597e-42
1,la,9.050574033010437e-37
2,la,9.026559576166637e-48
3,la,8.101980288795155e-5
4,la,3.056685264246547e-14
5,la,0.0030468327666697496
6,la,0.001507870217919599
7,la,6.176705142880625e-24
8,la,4.35515689072464e-24
9,la,3.8038515216112994e-7
10,la,2.332972274768961e-44
1,grain,6.553667457329058e-46
2,grain,7.177577228398907e-71
3,grain,1.1902992991112757e-16
4,grain,2.104047992613933e-25
5,grain,0.0019260401758963536
6,grain,1.270298201128309e-106
7,grain,3.629472001688834e-35
8,grain,7.042128809543e-29
9,grain,2.6617565079764708e-107
10,grain,1.1957635037818105e-55
1,cut,4.907681219247252e-25
2,cut,1.3493182429104446e-23
3,cut,2.976240307490747e-4
4,cut,2.5743244525382257e-4
5,cut,4.10724969799829e-5
6,cut,2.5329638594557587e-4
7,cut,8.26010660344552e-15
8,cut,2.1754650057606816e-7
9,cut,1.4894474119325363e-11
10,cut,6.150878437891366e-4
1,thick,1.912831574546806e-36
2,thick,1.0449657358819928e-98
3,thick,4.0012682964464496e-49
4,thick,5.2961666959141533e-98
5,thick,7.962918106120915e-30
6,thick,3.718915879856228e-5
7,thick,1.8198787256803034e-38
8,thick,7.491313303586604e-65
9,thick,1.4347861392559348e-35
10,thick,5.640613514987015e-4
1,organic,1.970040825209761e-25
2,organic,4.924854777920058e-35
3,organic,1.0109233019595323e-5
4,organic,3.336089116841313e-7
5,organic,2.100376509928896e-18
6,organic,5.441194541013545e-14
7,organic,1.5416173624078797e-21
8,organic,0.008140659509290124
9,organic,4.43810375281854e-25
10,organic,2.3403892982237987e-57
1,con,7.649620188844628e-44
2,con,2.871766147817815e-53
3,con,0.0018596814991800321
4,con,3.9653150097839154e-24
5,con,5.299211566798987e-46
6,con,0.0018395919847015959
7,con,2.1657461222693965e-36
8,con,2.747326276993136e-26
9,con,2.8372503853752664e-21
10,con,8.539465783277107e-41
1,picante,8.760682811564163e-26
2,picante,1.68052031323754e-52
3,picante,5.035970534219292e-9
4,picante,1.6474337158744216e-9
5,picante,7.864642325911175e-26
6,picante,4.376049755253375e-4
7,picante,1.3054498291332935e-26
8,picante,9.737342710142745e-4
9,picante,4.26743752208662e-11
10,picante,9.998023406974757e-44
1,lots,1.3197941128316112e-33
2,lots,0.00130539886320412
3,lots,5.315905224928653e-100
4,lots,2.2360515410694394e-36
5,lots,7.826724116697478e-61
6,lots,1.5072983671143207e-4
7,lots,8.56921360576752e-30
8,lots,5.241564197104486e-17
9,lots,2.97247713016906e-26
10,lots,3.5602726438775753e-5
1,loaded,3.2043231692832455e-22
2,loaded,0.0011820583493892534
3,loaded,6.4025352527384645e-21
4,loaded,1.673940480063427e-20
5,loaded,2.4424916064929967e-14
6,loaded,3.117332058487022e-4
7,loaded,7.380816514177059e-7
8,loaded,1.291052091123229e-4
9,loaded,2.6600533553606503e-15
10,loaded,8.418898961787066e-4
1,giant,1.1294877751153577e-28
2,giant,0.0016143582862126822
3,giant,2.441858498327442e-24
4,giant,5.533254950797473e-11
5,giant,1.021917220250153e-12
6,giant,6.295365904889007e-4
7,giant,9.794332304882625e-29
8,giant,1.0474085358969632e-14
9,giant,1.1755782244856502e-8
10,giant,1.61757958904097e-36
1,gluten,1.1662342467818058e-35
2,gluten,2.1921653777802224e-47
3,gluten,6.300804342748861e-16
4,gluten,0.001403250252827065
5,gluten,3.257353145343479e-56
6,gluten,1.921589606689511e-18
7,gluten,5.956607723006326e-29
8,gluten,5.599182103050297e-10
9,gluten,2.9663605996217943e-28
10,gluten,1.6264263703460948e-39
1,option,1.6123578433885883e-34
2,option,4.4208585874617706e-45
3,option,2.203440594990848e-4
4,option,3.9489047488038817e-4
5,option,5.563401646257442e-22
6,option,5.0809787537429e-4
7,option,3.101721979525453e-15
8,option,8.635533611830548e-10
9,option,1.8975244494428373e-14
10,option,2.2654775226365405e-25
1,crumbled,2.3124220475455942e-33
2,crumbled,0.0012597893653701364
3,crumbled,4.987586111238073e-4
4,crumbled,8.303800935952773e-25
5,crumbled,3.148232472990248e-13
6,crumbled,2.349229547175269e-19
7,crumbled,2.7880005901293014e-11
8,crumbled,7.802970391220498e-4
9,crumbled,1.0341339025776555e-16
10,crumbled,3.4727319938024495e-20
1,charbroiled,1.794016940198934e-27
2,charbroiled,0.0010847696757406067
3,charbroiled,5.583643190620007e-27
4,charbroiled,1.3472821592591298e-18
5,charbroiled,2.5388642383192363e-8
6,charbroiled,0.0021766339988717226
7,charbroiled,2.3853641678629466e-12
8,charbroiled,3.0659017641722607e-41
9,charbroiled,0.0015727735126188267
10,charbroiled,3.421951917768569e-21
1,tongue,2.7741134277762816e-31
2,tongue,5.418290015932343e-46
3,tongue,6.8860220032802716e-9
4,tongue,2.2100012708797966e-21
5,tongue,3.138462701372634e-33
6,tongue,1.70705515955581e-4
7,tongue,2.7077361614320607e-36
8,tongue,1.5522829053466586e-29
9,tongue,0.0022855719361596846
10,tongue,7.44919008836655e-43
1,seasonal,3.300256874846957e-4
2,seasonal,2.2843593320134645e-30
3,seasonal,5.311670916022411e-4
4,seasonal,0.002090515642699216
5,seasonal,3.6531382551368834e-10
6,seasonal,7.456558271567022e-4
7,seasonal,4.74977978189561e-14
8,seasonal,8.616648206009824e-16
9,seasonal,6.113861541969462e-23
10,seasonal,4.093953799918776e-56
1,pollock,4.4466775041286705e-27
2,pollock,1.9963575478433534e-67
3,pollock,6.280528622118687e-4
4,pollock,2.7957578062779775e-99
5,pollock,1.1506331122060087e-32
6,pollock,1.0774814785265125e-4
7,pollock,1.1362281082529755e-21
8,pollock,1.8027744204264806e-27
9,pollock,2.4817697559121667e-27
10,pollock,6.722583880192164e-32
1,charra,1.0009343041032332e-91
2,charra,1.4166710425764013e-113
3,charra,5.288368581533219e-4
4,charra,1.409539940443698e-79
5,charra,6.232833071301908e-48
6,charra,1.0412264025370433e-4
7,charra,3.8422664326810683e-34
8,charra,1.0930644834454324e-117
9,charra,8.87542173704485e-54
10,charra,3.998743585118947e-65
1,frijoles,5.696233572967036e-49
2,frijoles,2.7631325104330132e-64
3,frijoles,3.06706094098172e-4
4,frijoles,1.084177665340077e-33
5,frijoles,1.749560106317501e-29
6,frijoles,0.0016127498739216077
7,frijoles,7.190125827133366e-38
8,frijoles,9.199566377477092e-31
9,frijoles,3.382278962752057e-13
10,frijoles,1.5786094429630874e-47
1,covered,3.814154329037946e-26
2,covered,1.481340556054274e-32
3,covered,9.873079909510777e-35
4,covered,6.124213617255558e-23
5,covered,1.2360202247630493e-29
6,covered,0.004673959344795563
7,covered,8.007503945807061e-31
8,covered,3.5034880601840277e-9
9,covered,3.4684494479959443e-22
10,covered,6.158762397402386e-32
1,folded,1.407934000147466e-27
2,folded,7.866878399750668e-40
3,folded,8.31322981170681e-17
4,folded,2.047217553456776e-24
5,folded,4.696597992340794e-28
6,folded,9.501926597362473e-4
7,folded,2.753460691247961e-4
8,folded,0.0015970989819450567
9,folded,2.238348892053785e-15
10,folded,9.080349088070999e-27
1,garden,7.369771695895481e-45
2,garden,6.113008147197371e-51
3,garden,9.371129486650267e-40
4,garden,5.318030001891909e-62
5,garden,7.605035566661735e-48
6,garden,5.797564876268592e-16
7,garden,1.0057319663361028e-41
8,garden,0.0011814138905170833
9,garden,2.2432014913015648e-38
10,garden,3.6518146490516e-35
1,hit,3.332738667854952e-72
2,hit,1.376441216217956e-162
3,hit,1.420440541532059e-178
4,hit,1.580986669889806e-168
5,hit,1.2422209851625496e-160
6,hit,1.212290657916515e-70
7,hit,1.0416315037930714e-57
8,hit,7.31351456035339e-4
9,hit,3.912510410900808e-156
10,hit,4.16085810226865e-31
1,ingredients,7.208202049439391e-39
2,ingredients,1.336549924938805e-37
3,ingredients,1.79920931432887e-20
4,ingredients,4.366986588851859e-24
5,ingredients,6.861221691983312e-34
6,ingredients,2.8166461726257682e-12
7,ingredients,2.3145405310992263e-38
8,ingredients,0.0016877341218198977
9,ingredients,4.743538697599153e-22
10,ingredients,4.371559871043928e-34
1,youngsters,5.949186556409137e-73
2,youngsters,2.355734585533416e-163
3,youngsters,3.472282613438068e-179
4,youngsters,2.1302480429315415e-170
5,youngsters,7.161719568372238e-161
6,youngsters,1.936134557645641e-71
7,youngsters,9.481895110804337e-59
8,youngsters,7.31351456035339e-4
9,youngsters,5.911247959860447e-157
10,youngsters,1.2221320557694938e-33
1,charro,2.0851492163364193e-59
2,charro,3.40778402410136e-51
3,charro,9.607759901625175e-8
4,charro,1.5986790755818568e-20
5,charro,5.993961526266033e-44
6,charro,0.001564265171190437
7,charro,8.883586366175542e-22
8,charro,4.304095338536181e-28
9,charro,1.4037847637372063e-6
10,charro,7.328596857862133e-33
1,breast,1.379590064744393e-36
2,breast,8.305351771497822e-40
3,breast,7.583143492720732e-4
4,breast,3.469155091138057e-4
5,breast,0.0042775177129796985
6,breast,0.0021748521920569377
7,breast,3.0385067236069824e-4
8,breast,4.3464803726623205e-7
9,breast,9.566855056893086e-9
10,breast,1.251103881960981e-25
1,michoacan,3.542629480013131e-123
2,michoacan,7.445666122533371e-131
3,michoacan,1.257978733645281e-154
4,michoacan,1.515429612590997e-90
5,michoacan,2.430409488032158e-24
6,michoacan,3.806845787949213e-4
7,michoacan,3.7231789672069937e-25
8,michoacan,2.795544167252885e-72
9,michoacan,2.66291027861978e-35
10,michoacan,1.925368719253625e-85
1,3,5.78099010160356e-23
2,3,1.1664139785214802e-27
3,3,0.002012508909249723
4,3,1.7298783362402801e-9
5,3,6.3908856129535e-23
6,3,0.004950311182878853
7,3,1.8746990044124625e-9
8,3,1.1838269448233314e-7
9,3,6.474317243974744e-5
10,3,3.0368952738294996e-31
1,garnish,3.155440836471439e-32
2,garnish,2.1303518875023495e-30
3,garnish,2.1630849873834141e-4
4,garnish,8.33550547238871e-5
5,garnish,8.048073182337998e-26
6,garnish,4.35163674409108e-4
7,garnish,3.495543739195086e-10
8,garnish,1.4424262044313358e-15
9,garnish,1.7249635793108106e-37
10,garnish,7.0729327603081935e-34
1,mushroom,5.4697692918896985e-27
2,mushroom,2.3131031693723204e-41
3,mushroom,3.486064108857129e-4
4,mushroom,8.9577083012204e-4
5,mushroom,7.579091582916285e-28
6,mushroom,6.0054850310773085e-5
7,mushroom,1.3639007246349953e-28
8,mushroom,0.0016857253866777667
9,mushroom,6.345544477954467e-9
10,mushroom,1.7145617376886182e-28
1,pickled,1.84567380210194e-42
2,pickled,1.7300542968795918e-53
3,pickled,0.011469959909035468
4,pickled,4.294486174362078e-16
5,pickled,6.202920246332514e-29
6,pickled,9.347926578879132e-38
7,pickled,6.7692340352924115e-28
8,pickled,7.661455048233617e-26
9,pickled,3.303303407942466e-33
10,pickled,2.685335530671181e-53
1,cajun,1.4542484397202804e-50
2,cajun,7.351643185914313e-64
3,cajun,0.0015002754004774688
4,cajun,4.781629566794437e-7
5,cajun,6.381293639856114e-17
6,cajun,4.399774773511714e-6
7,cajun,3.178158358716774e-13
8,cajun,4.0974478822423616e-7
9,cajun,4.658489278136344e-32
10,cajun,4.552630236150386e-25
1,plain,9.83479733567726e-38
2,plain,1.8772222870181267e-61
3,plain,6.711957668456916e-4
4,plain,3.325291709721782e-17
5,plain,8.673436029232317e-25
6,plain,1.9551031313557e-9
7,plain,2.1754514736793977e-31
8,plain,2.174148657965013e-4
9,plain,7.506405669822348e-16
10,plain,3.2519421563523893e-51
1,poblano,7.83082035136264e-22
2,poblano,1.677503405940701e-32
3,poblano,0.004264704258109358
4,poblano,4.4981567201039506e-7
5,poblano,4.906450810598924e-22
6,poblano,9.398190066471675e-5
7,poblano,0.002461098618155427
8,poblano,2.3729528367030996e-6
9,poblano,3.874046210593838e-13
10,poblano,1.806456738525128e-38
1,aioli,1.0417868837458482e-37
2,aioli,1.921651857100168e-48
3,aioli,0.017117249038559792
4,aioli,7.130448418484727e-18
5,aioli,5.621544161171762e-23
6,aioli,5.867259547650274e-36
7,aioli,1.8790361279015613e-20
8,aioli,2.1961642548653476e-15
9,aioli,1.311822954301879e-28
10,aioli,7.939787421238286e-47
1,cotija,6.505719498379877e-5
2,cotija,8.272458964459379e-36
3,cotija,0.0064000798170108335
4,cotija,0.0018377692969871599
5,cotija,1.787092785376762e-9
6,cotija,9.284159826301635e-8
7,cotija,1.2386579182857345e-12
8,cotija,1.7892881572959908e-12
9,cotija,1.4924701214889843e-4
10,cotija,8.401777751623896e-33
1,bowl,1.7258378851042897e-44
2,bowl,2.2924636804658617e-40
3,bowl,1.6714983099800088e-20
4,bowl,1.5139397185062214e-10
5,bowl,8.143252550529812e-38
6,bowl,0.0014964091772076116
7,bowl,1.1890971071296217e-28
8,bowl,1.815632296141951e-12
9,bowl,5.180136506607494e-5
10,bowl,7.117252585493387e-30
1,ranchera,1.9822192411843314e-42
2,ranchera,1.253311023299511e-56
3,ranchera,2.7682360588375737e-31
4,ranchera,2.3201418057914097e-31
5,ranchera,4.987581092091679e-26
6,ranchera,0.002051457426361637
7,ranchera,1.2513226856223598e-41
8,ranchera,3.0308634721749985e-42
9,ranchera,1.8632790013149788e-8
10,ranchera,1.2814993835052373e-33
1,scallion,1.246728382597892e-30
2,scallion,2.2695733480123412e-49
3,scallion,8.161854775395776e-4
4,scallion,6.547700680949559e-4
5,scallion,2.1734983649260876e-41
6,scallion,6.798373925548564e-34
7,scallion,5.335999455179503e-20
8,scallion,8.41821223593958e-15
9,scallion,2.9650274755324277e-53
10,scallion,1.0496206762838605e-49
1,add,1.4169588581988335e-28
2,add,5.820464639625352e-58
3,add,1.2407426045357849e-11
4,add,2.59375217429296e-21
5,add,2.491634884147485e-25
6,add,5.892145826684286e-7
7,add,5.130706234824039e-25
8,add,0.0011798769419905334
9,add,0.0015207499892857686
10,add,4.0457793550006924e-5
1,fritas,5.723255435244042e-48
2,fritas,1.7485092303221872e-54
3,fritas,4.108082639956968e-5
4,fritas,7.896705502519511e-18
5,fritas,2.1908182560965095e-40
6,fritas,2.290201870620048e-4
7,fritas,3.12126072547282e-39
8,fritas,2.1070531641617827e-54
9,fritas,9.940485721733042e-46
10,fritas,3.7105166226647784e-61
1,1,2.0641845280237742e-34
2,1,8.399984976103235e-41
3,1,0.0011158603375446658
4,1,3.2490730372897443e-24
5,1,2.471299864480684e-15
6,1,9.133807219766409e-4
7,1,9.622915144008503e-18
8,1,1.4169467037339665e-14
9,1,2.2922236213374007e-9
10,1,1.3101188478299277e-26
1,guajillo,9.936518313620978e-37
2,guajillo,2.1976140283241036e-40
3,guajillo,0.0033548743345494926
4,guajillo,5.959122995211262e-12
5,guajillo,1.484440396188677e-7
6,guajillo,3.247083536204646e-4
7,guajillo,2.549495582788563e-13
8,guajillo,1.711313239986936e-20
9,guajillo,2.7134509434046684e-14
10,guajillo,1.4173844478907198e-51
1,cooked,7.96468301035924e-33
2,cooked,9.52843642937099e-33
3,cooked,0.001067327022732573
4,cooked,1.063893204919784e-9
5,cooked,3.894783038127404e-26
6,cooked,0.00248653171859583
7,cooked,3.5643682657209145e-17
8,cooked,3.041485058634632e-14
9,cooked,5.131537085283413e-19
10,cooked,5.162495163060793e-33
1,fries,2.7530503174232926e-17
2,fries,2.0353868554626594e-35
3,fries,0.00566395964540575
4,fries,1.4480099349175335e-9
5,fries,2.0557668451324032e-24
6,fries,7.499359394556454e-10
7,fries,1.2140304318731004e-17
8,fries,0.009311651497528817
9,fries,2.977092495618734e-7
10,fries,9.609866246399483e-31
1,mozzarella,4.085200521727877e-36
2,mozzarella,6.140157929661237e-48
3,mozzarella,3.0152054549725024e-20
4,mozzarella,1.2486826026249964e-16
5,mozzarella,1.4833013003956115e-29
6,mozzarella,3.4160806479351173e-20
7,mozzarella,7.803126316803575e-27
8,mozzarella,0.008607444059492656
9,mozzarella,1.4005045798932996e-26
10,mozzarella,1.9953810030508854e-24
1,picadillo,2.4594544274518005e-38
2,picadillo,9.966910131624213e-47
3,picadillo,1.4799153549774843e-4
4,picadillo,1.7147780768552166e-20
5,picadillo,3.611917208893785e-24
6,picadillo,9.043990029571631e-4
7,picadillo,2.500198373821494e-21
8,picadillo,2.3460553258556335e-16
9,picadillo,9.577795621560185e-4
10,picadillo,2.570541227018649e-21
1,pulled,1.0471804046466665e-27
2,pulled,5.078931104821522e-43
3,pulled,0.0038302336241745017
4,pulled,1.928823972100104e-10
5,pulled,1.4020877190509248e-28
6,pulled,8.384616536347936e-7
7,pulled,4.5460204129467126e-12
8,pulled,8.76043123267037e-9
9,pulled,0.002237087709234904
10,pulled,7.524668004709701e-26
1,mashed,1.8642522025472245e-30
2,mashed,1.7292013687975464e-28
3,mashed,3.3439019271434795e-4
4,mashed,1.950866178150536e-6
5,mashed,1.8207756126701753e-35
6,mashed,8.767871563625246e-7
7,mashed,8.077953304346999e-48
8,mashed,1.3242332850557268e-4
9,mashed,3.752662175106554e-4
10,mashed,1.2743995324891556e-22
1,ranchero,4.198956570155856e-21
2,ranchero,1.1913585212588433e-34
3,ranchero,6.083915900658447e-6
4,ranchero,0.0020869748861444
5,ranchero,2.584485741563255e-19
6,ranchero,0.00257818214311461
7,ranchero,1.0505825778673981e-4
8,ranchero,7.348470869042252e-8
9,ranchero,4.537913693716689e-16
10,ranchero,6.959345389542336e-38
1,jalapenos,1.4162126885254163e-15
2,jalapenos,3.2799090196130025e-29
3,jalapenos,5.479636561564292e-4
4,jalapenos,0.0026324825333629404
5,jalapenos,2.14529989729541e-22
6,jalapenos,2.823978456255441e-4
7,jalapenos,2.6550094722717288e-18
8,jalapenos,0.002550380638810519
9,jalapenos,8.113107300938816e-17
10,jalapenos,3.9121543883279526e-5
1,baked,1.0430442088488986e-33
2,baked,2.894298586814863e-44
3,baked,4.2496217591334533e-4
4,baked,7.109119381359772e-8
5,baked,4.532851823352756e-11
6,baked,0.00168945038726162
7,baked,8.932102440054342e-17
8,baked,1.8525809989765118e-9
9,baked,2.0572580554810928e-25
10,baked,2.0084281425529708e-40
1,chihuahua,1.3022733065163888e-31
2,chihuahua,7.222914994886723e-52
3,chihuahua,0.001029080395113333
4,chihuahua,8.365624029063168e-7
5,chihuahua,3.167814245224906e-21
6,chihuahua,0.001007499036010296
7,chihuahua,1.9781669930424838e-23
8,chihuahua,9.513574773970329e-14
9,chihuahua,5.050029859179366e-8
10,chihuahua,3.724163452902843e-36
1,double,1.0320920997301204e-31
2,double,4.957740464829751e-64
3,double,2.225142860135296e-9
4,double,2.4225382438819372e-4
5,double,3.796987617706579e-13
6,double,4.968981362723579e-4
7,double,7.865157856855368e-6
8,double,1.4405836713773674e-4
9,double,1.4422984446567807e-7
10,double,2.8633931801079666e-4
1,top,9.606655667235776e-41
2,top,1.2362697535309878e-40
3,top,1.9822716367464066e-26
4,top,7.846358294584119e-19
5,top,3.564002626142136e-19
6,top,0.00196687032377349
7,top,7.161677653510114e-31
8,top,3.443870336761416e-20
9,top,5.322551280739398e-16
10,top,1.7206224959721938e-35
1,suitable,6.629766889843691e-97
2,suitable,2.820917271589471e-94
3,suitable,5.600951962801963e-55
4,suitable,4.7623603703170644e-99
5,suitable,7.43747830774713e-91
6,suitable,4.441320085940747e-4
7,suitable,9.539256313990126e-86
8,suitable,1.3613016028865248e-91
9,suitable,2.9189842147759726e-99
10,suitable,2.2707701851062185e-109
1,vegetarian,1.6923953238000867e-29
2,vegetarian,3.0464260761651327e-46
3,vegetarian,5.261909003748807e-5
4,vegetarian,3.0043133957583642e-15
5,vegetarian,2.3256099545563844e-10
6,vegetarian,0.0027176602594561135
7,vegetarian,4.5850146423364123e-10
8,vegetarian,4.477535468073498e-9
9,vegetarian,1.5783803042370967e-11
10,vegetarian,5.17605492202608e-44
1,low,4.869205088854389e-34
2,low,1.2829423135380124e-82
3,low,6.399312648487476e-4
4,low,1.7043684743523576e-15
5,low,4.2351443537781156e-16
6,low,1.8518675470217903e-6
7,low,6.350269638754618e-28
8,low,4.3141155211909483e-4
9,low,2.9277782720073488e-34
10,low,4.422957511482112e-28
1,wheat,3.423418205304552e-23
2,wheat,4.353037871569011e-42
3,wheat,1.8178215091135168e-4
4,wheat,1.4788627854274776e-5
5,wheat,4.267200258515247e-13
6,wheat,1.7725404439772507e-7
7,wheat,4.425432275422284e-21
8,wheat,0.009868106607764876
9,wheat,3.0274185533730804e-19
10,wheat,7.112347230713302e-39
1,al,1.0065368801455744e-44
2,al,3.3970979592459676e-66
3,al,1.3951147947454648e-7
4,al,6.365086535348287e-22
5,al,4.039255517759032e-38
6,al,2.2237402330124492e-14
7,al,1.7441156308463867e-4
8,al,2.629593834246876e-37
9,al,0.004313435836491729
10,al,1.3729068625779603e-37
1,pastor,7.547456164283198e-46
2,pastor,4.489787424255323e-62
3,pastor,1.0696855167905566e-19
4,pastor,3.862686802229921e-26
5,pastor,6.603260026731049e-43
6,pastor,1.01287742397244e-13
7,pastor,8.545890152118629e-30
8,pastor,1.3622518268163164e-39
9,pastor,0.004577111265080859
10,pastor,1.871651661330399e-43
1,carbon,6.161590435788564e-52
2,carbon,3.338960800575875e-67
3,carbon,2.968067647838065e-4
4,carbon,4.365232298186253e-24
5,carbon,1.823629607399883e-30
6,carbon,7.249302724544123e-11
7,carbon,1.5542875532821704e-4
8,carbon,6.603641393813013e-39
9,carbon,6.848742225160675e-4
10,carbon,1.428272950634687e-34
1,cup,1.988587536629264e-21
2,cup,3.484370184679219e-47
3,cup,0.0011575124555883295
4,cup,5.0543095439256435e-18
5,cup,6.557471730800147e-39
6,cup,1.8391500163152097e-16
7,cup,9.213258647787152e-28
8,cup,1.0319460186724076e-8
9,cup,2.444010075677138e-13
10,cup,8.00026209772379e-36
1,sopa,1.2049460531484818e-76
2,sopa,1.6055214671518327e-121
3,sopa,4.910686199587222e-4
4,sopa,6.914763265301596e-44
5,sopa,7.04710909378197e-89
6,sopa,1.6341791109454848e-65
7,sopa,3.1728069381466736e-121
8,sopa,3.4405722016533706e-41
9,sopa,1.5548776653659779e-27
10,sopa,8.958909421620327e-39
1,spiced,1.444717689121521e-35
2,spiced,3.8864206323121473e-39
3,spiced,0.0012035099969535607
4,spiced,5.3159932461982104e-11
5,spiced,2.4854565428362643e-27
6,spiced,1.678023602764949e-4
7,spiced,1.9921201274235451e-25
8,spiced,0.0015051543350239225
9,spiced,8.680646109273557e-24
10,spiced,5.824716596484363e-19
1,cubed,6.551241027531122e-101
2,cubed,1.3918039655744935e-88
3,cubed,2.03572219226963e-110
4,cubed,2.4842775955617874e-74
5,cubed,8.186995541184622e-54
6,cubed,3.172371489957679e-4
7,cubed,2.5379866825604796e-59
8,cubed,8.092362941947274e-102
9,cubed,5.7274634444044885e-32
10,cubed,5.22256687734215e-39
1,fajitas,6.252053485602837e-69
2,fajitas,2.1209034828900474e-79
3,fajitas,5.442418659429003e-14
4,fajitas,7.301902950158046e-37
5,fajitas,3.1810102715319254e-33
6,fajitas,7.613691575568892e-4
7,fajitas,1.762828207875888e-25
8,fajitas,3.91703767572371e-27
9,fajitas,2.7350209081697505e-16
10,fajitas,5.164670220702598e-39
1,machino,1.3448908047042653e-119
2,machino,1.1615197076442867e-116
3,machino,5.254392507437367e-21
4,machino,2.9767067383382113e-122
5,machino,2.6570058821098663e-19
6,machino,1.391772621742538e-16
7,machino,1.7613022542312022e-6
8,machino,5.612527086324445e-4
9,machino,5.460285498459799e-18
10,machino,1.8813695472903686e-25
1,romaine,7.462440676355481e-31
2,romaine,1.0341653643485284e-39
3,romaine,0.002224147386730906
4,romaine,0.002179283543114886
5,romaine,1.6175076066797751e-15
6,romaine,1.2957155861687854e-6
7,romaine,2.2853756776561985e-17
8,romaine,6.189561640442651e-9
9,romaine,1.8786482390023798e-4
10,romaine,1.3565159838300515e-28
1,planchada,2.8273624296049188e-129
2,planchada,1.0041571752874518e-123
3,planchada,2.8061063997641267e-4
4,planchada,2.3309050850340598e-23
5,planchada,8.29092393982147e-113
6,planchada,5.879486036051116e-51
7,planchada,5.394362344155392e-112
8,planchada,9.091268070735978e-57
9,planchada,3.1550244983800593e-52
10,planchada,2.231668600013448e-59
1,mahi,2.6342697002814864e-39
2,mahi,1.8450772410438976e-55
3,mahi,0.013855150287324975
4,mahi,1.561432107020752e-14
5,mahi,1.9622768543886987e-23
6,mahi,8.469720998011792e-20
7,mahi,1.1851551447538716e-10
8,mahi,2.8235573469864017e-18
9,mahi,6.990203260858822e-12
10,mahi,3.311055838633261e-34
1,spinach,1.759865198149759e-20
2,spinach,7.355563791155283e-29
3,spinach,0.0011414257126350586
4,spinach,7.885774436246092e-5
5,spinach,7.606839226881076e-16
6,spinach,8.988130499480945e-4
7,spinach,1.964688172809849e-17
8,spinach,0.01000399722067162
9,spinach,1.573942419934805e-8
10,spinach,8.677141248493844e-32
1,chilies,1.5659348302741542e-20
2,chilies,1.320422978562968e-33
3,chilies,1.0009990429909249e-9
4,chilies,7.37607084094066e-4
5,chilies,1.5624804110798382e-18
6,chilies,6.857874079891525e-7
7,chilies,9.00083784945124e-13
8,chilies,0.0025938645598513072
9,chilies,1.6171386492000697e-4
10,chilies,2.2754277707375833e-35
1,chives,7.401502374744162e-30
2,chives,1.9259947076052368e-38
3,chives,2.8135562351389208e-42
4,chives,2.0868394278089108e-27
5,chives,2.077429503891587e-5
6,chives,3.088481308168063e-11
7,chives,1.7364493292113424e-34
8,chives,0.0010549418588982928
9,chives,5.422538729047824e-29
10,chives,2.8502097461633774e-38
1,potatoes,1.422496044041895e-14
2,potatoes,5.746644863438265e-30
3,potatoes,1.4000911279734681e-8
4,potatoes,0.001036492868847522
5,potatoes,9.608945233769297e-17
6,potatoes,4.369659642382021e-15
7,potatoes,5.066364934399174e-23
8,potatoes,0.0345946900139474
9,potatoes,3.926184781103939e-18
10,potatoes,1.995324409342208e-45
1,bbq,5.913362380930173e-35
2,bbq,2.942857869125389e-35
3,bbq,0.0027311929146138416
4,bbq,4.0357457033772566e-8
5,bbq,7.669210858121776e-19
6,bbq,9.11292804626222e-6
7,bbq,3.6811250647202726e-8
8,bbq,4.74377939785e-9
