topic,term,beta
6,real,8.059808495584873e-43
7,real,1.7359445609903473e-53
8,real,4.221369517800766e-83
9,real,1.1545126798761043e-102
10,real,0.021094920711209848
1,lime,7.815080642056067e-40
2,lime,1.9412919672392845e-53
3,lime,5.1148008686009234e-5
4,lime,3.6804290351700223e-10
5,lime,6.358038663651406e-25
6,lime,3.4501670831854505e-24
7,lime,0.06904218785384081
8,lime,7.306631919575942e-4
9,lime,1.8109977786419816e-18
10,lime,3.017388083242339e-5
1,soft,0.056147514715702625
2,soft,7.983538122590874e-34
3,soft,3.633538873410062e-13
4,soft,0.014161755127340624
5,soft,3.655756705916592e-23
6,soft,0.008422388767076764
7,soft,1.3652968905510665e-4
8,soft,1.1582806051110561e-18
9,soft,0.011100221872989393
10,soft,0.024990970339479838
1,seasoned,1.695672050642917e-20
2,seasoned,1.4300392973352343e-27
3,seasoned,2.18328674715829e-7
4,seasoned,2.9110610210295493e-12
5,seasoned,5.529754523000418e-23
6,seasoned,5.802284854819741e-4
7,seasoned,2.5582305569732083e-17
8,seasoned,3.6373809605844095e-8
9,seasoned,1.2811580551707006e-9
10,seasoned,0.03231279313845761
1,eggs,0.13324802239080283
2,eggs,0.04598431084442746
3,eggs,2.1750279348173407e-10
4,eggs,1.810502410575247e-4
5,eggs,3.1921261174988876e-20
6,eggs,2.6989774604462835e-14
7,eggs,4.764296498097234e-24
8,eggs,0.003482144180316663
9,eggs,1.8038254066057815e-19
10,eggs,3.5372145007158844e-10
1,fluffy,0.051435041609121365
2,fluffy,0.028556045488416785
3,fluffy,1.0517508912035422e-100
4,fluffy,8.590371978478686e-95
5,fluffy,1.0914161401342775e-82
6,fluffy,3.778410433938653e-105
7,fluffy,1.287423312838808e-98
8,fluffy,3.158251427997569e-86
9,fluffy,1.579068548912583e-117
10,fluffy,1.7541997541053996e-139
1,melty,0.05104892680492072
2,melty,0.02855647644141006
3,melty,8.134447640824605e-123
4,melty,9.199685779079652e-98
5,melty,1.562913636714248e-91
6,melty,1.052221164427466e-95
7,melty,1.4468556538394333e-117
8,melty,1.1201734256307882e-87
9,melty,2.284067571209728e-112
10,melty,5.26771291513845e-151
1,morning,0.051030280073142684
2,morning,6.665747532036343e-5
3,morning,1.700272075645078e-137
4,morning,1.868689979328927e-109
5,morning,2.2177347513796266e-90
6,morning,4.168255546691254e-105
7,morning,1.8631582144547106e-119
8,morning,3.4378220485730835e-129
9,morning,1.3290939634474726e-123
10,morning,2.679087120386154e-168
1,onions,0.07783093525481331
2,onions,0.012249419635064656
3,onions,7.241149835224651e-4
4,onions,0.030913801955033685
5,onions,8.166228292729355e-16
6,onions,0.008169562602613418
7,onions,4.962288072475723e-16
8,onions,0.0011852843353030629
9,onions,0.024053212316807286
10,onions,0.004280129396829098
1,peppers,0.07357021495746495
2,peppers,1.3446294552251951e-36
3,peppers,2.6782832026590006e-10
4,peppers,0.008502654788404314
5,peppers,2.520118497184002e-18
6,peppers,0.0047097110450488484
7,peppers,5.628418826807348e-17
8,peppers,9.980117623093015e-13
9,peppers,2.1000901544005994e-4
10,peppers,3.6568824710254293e-31
1,sausage,0.0948838009696501
2,sausage,1.4154865857112872e-4
3,sausage,3.802993668211547e-33
4,sausage,1.2735631683701037e-23
5,sausage,6.030845916857149e-34
6,sausage,7.127654733838723e-21
7,sausage,1.9585639190163911e-32
8,sausage,7.977480128515876e-12
9,sausage,1.6549196215347324e-25
10,sausage,2.965816147879211e-6
1,scrambled,0.12257586845951143
2,scrambled,1.817608394554301e-4
3,scrambled,7.654773127197881e-12
4,scrambled,1.355271355406997e-8
5,scrambled,1.3451513345805054e-25
6,scrambled,2.260067335114064e-25
7,scrambled,9.684209723002958e-27
8,scrambled,1.2228376602235154e-9
9,scrambled,9.925314957602452e-30
10,scrambled,5.426494746914109e-10
1,spice,0.052077371264882634
2,spice,4.640506067379215e-91
3,spice,5.280265084698402e-47
4,spice,2.9605983457237023e-53
5,spice,6.242866757261832e-67
6,spice,4.995858556995215e-72
7,spice,7.941077404609263e-63
8,spice,8.0326670389886e-77
9,spice,1.3395501682716638e-82
10,spice,2.629153660682967e-82
1,wrapped,0.07005713593680275
2,wrapped,0.029874833136079245
3,wrapped,5.047332889213898e-11
4,wrapped,4.138957842385521e-16
5,wrapped,0.0021142588585563024
6,wrapped,0.006359294924742214
7,wrapped,5.405105340571634e-19
8,wrapped,1.3252759960876312e-18
9,wrapped,9.033274090397042e-17
10,wrapped,0.007840231749303506
1,mild,1.758359709887758e-10
2,mild,1.1390382777022305e-48
3,mild,1.5283612784596664e-26
4,mild,2.263815766104721e-28
5,mild,4.407409483854468e-27
6,mild,0.012621922466686173
7,mild,6.404545859071614e-13
8,mild,8.738520400625526e-13
9,mild,1.3282270270288713e-8
10,mild,3.328088472751861e-5
1,flour,1.0216506823148304e-4
2,flour,0.03928942737600582
3,flour,0.018586087888619044
4,flour,1.2516761128826266e-4
5,flour,1.2566295701335565e-4
6,flour,0.03530411916331193
7,flour,2.6290645057721593e-6
8,flour,0.04028877925285808
9,flour,2.1993053418252177e-4
10,flour,0.017718789886323777
1,warm,1.0883883540477708e-22
2,warm,0.031758850916579213
3,warm,7.945797182633744e-28
4,warm,5.3102668124991235e-25
5,warm,1.3760261186764441e-37
6,warm,1.8122748288308551e-23
7,warm,0.0253264788229652
8,warm,8.39746154708955e-26
9,warm,6.251312578537494e-5
10,warm,0.017221789621796282
1,breakfast,6.945239286380607e-5
2,breakfast,0.046215318776943924
3,breakfast,5.3244853703211156e-42
4,breakfast,7.146710481373537e-44
5,breakfast,7.098550064616746e-54
6,breakfast,2.4349740312535086e-53
7,breakfast,1.787262046372147e-55
8,breakfast,3.472414737566918e-29
9,breakfast,1.5144445982442704e-55
10,breakfast,2.0516007102746675e-12
1,grilled,1.139537742486822e-28
2,grilled,0.01766824906936775
3,grilled,0.01876148095951399
4,grilled,0.01207866536840246
5,grilled,0.05740620476235158
6,grilled,0.007106935595657354
7,grilled,0.009006927556320156
8,grilled,0.010590129704794964
9,grilled,0.020411417640125384
10,grilled,1.3134985527477374e-16
1,natural,2.506553035071643e-106
2,natural,3.675973709185247e-123
3,natural,1.7159215690979293e-51
4,natural,4.896282789728086e-57
5,natural,0.02997923404221723
6,natural,1.7605180092085836e-78
7,natural,5.706330769564526e-69
8,natural,8.2409890550333e-78
9,natural,9.737294212410866e-68
10,natural,4.01877799620755e-99
1,chipotle,3.25227800617464e-10
2,chipotle,4.133206366012831e-18
3,chipotle,0.021929111983214365
4,chipotle,1.1722068179048201e-8
5,chipotle,0.04621859908995903
6,chipotle,8.172256020349689e-15
7,chipotle,0.008791585123399606
8,chipotle,0.016942320269294608
9,chipotle,0.0060811716873453835
10,chipotle,1.5418227345859852e-27
1,creamy,1.0682525284721053e-48
2,creamy,8.509030775997605e-60
3,creamy,3.8055980640198274e-28
4,creamy,1.6810210179080932e-36
5,creamy,5.78321580392907e-43
6,creamy,7.69673408986984e-30
7,creamy,0.03202706786120394
8,creamy,2.839072022700614e-28
9,creamy,1.88760725074786e-20
10,creamy,1.8456350892758142e-4
1,shell,1.7485339879880455e-27
2,shell,3.369791485363147e-42
3,shell,4.471653325233469e-10
4,shell,1.2332036675258352e-13
5,shell,4.1903337048941835e-28
6,shell,0.002515771437500686
7,shell,6.80463501819234e-21
8,shell,5.265586627148816e-13
9,shell,3.932052329841098e-12
10,shell,0.01443611990035088
1,diced,4.804709607282045e-19
2,diced,1.5245498031254933e-19
3,diced,9.310284414886692e-9
4,diced,1.3635012599881318e-7
5,diced,3.8466004086114854e-22
6,diced,2.04712151449028e-4
7,diced,5.294078831491793e-13
8,diced,3.6523769140743562e-6
9,diced,2.0019131535066258e-9
10,diced,0.02087900063598986
1,wahoo,1.160734086120015e-109
2,wahoo,6.424209900979807e-133
3,wahoo,1.8494549428427028e-81
4,wahoo,1.5129586644613427e-88
5,wahoo,5.471575343566559e-79
6,wahoo,2.0128363015292616e-99
7,wahoo,2.1125416437591377e-68
8,wahoo,1.1576438299818986e-80
9,wahoo,0.018766156187648573
10,wahoo,1.0753415935070364e-126
1,ground,4.1425438696439934e-26
2,ground,2.242378536691065e-32
3,ground,1.0879613374784857e-21
4,ground,2.7211746031254076e-19
5,ground,5.4640771688381085e-30
6,ground,0.008515744217045535
7,ground,1.6867756103065896e-27
8,ground,2.058553782892055e-11
9,ground,2.1700386246056925e-10
10,ground,0.020714488268126233
1,cilantro,8.327580899149323e-20
2,cilantro,1.545604170885414e-41
3,cilantro,0.01545049433803938
4,cilantro,0.04541345622593189
5,cilantro,2.7183724764446887e-15
6,cilantro,4.922304234109467e-7
7,cilantro,0.03622651921231446
8,cilantro,3.899767866912923e-4
9,cilantro,0.0216048266939442
10,cilantro,1.0779040272797486e-37
1,served,3.2139167639875683e-13
2,served,5.620736694249505e-6
3,served,0.011021445798706434
4,served,0.0332013427629928
5,served,1.1904676619218241e-4
6,served,0.04033685016362274
7,served,0.03828606161743439
8,served,3.7114308027764705e-4
9,served,0.00911870210774336
10,served,8.386365639554074e-4
1,chili,1.4256725294520336e-22
2,chili,1.2764880216729136e-29
3,chili,0.005547536659813851
4,chili,0.004202851888562376
5,chili,6.463036256743715e-23
6,chili,1.2872387122520014e-5
7,chili,9.02046052608657e-19
8,chili,0.012782338700208763
9,chili,1.236246579108731e-13
10,chili,0.0076134555696102755
1,cabbage,1.8893815331674084e-36
2,cabbage,4.306281429738032e-44
3,cabbage,0.024395284572427456
4,cabbage,1.7383022487859994e-7
5,cabbage,1.7523429252321362e-16
6,cabbage,2.842665965134504e-13
7,cabbage,0.050859599350256614
8,cabbage,5.31317050275247e-18
9,cabbage,0.013241717668120281
10,cabbage,2.41530046596597e-16
1,black,1.3305826623544696e-10
2,black,1.4559067055958746e-32
3,black,7.2380452247461055e-12
4,black,0.06037697404291443
5,black,0.024178244178283813
6,black,1.4359161227109332e-14
7,black,3.334181142862098e-20
8,black,3.829438679895466e-8
9,black,0.01811142576703985
10,black,9.273299613447859e-14
1,choice,9.64373563023582e-17
2,choice,7.734322338866461e-24
3,choice,4.1535042718493965e-14
4,choice,3.637954912313547e-7
5,choice,3.2514324332826694e-19
6,choice,0.02783080250026239
7,choice,5.052573964534138e-17
8,choice,0.009012712478885262
9,choice,0.044475202803646634
10,choice,6.295119070690096e-17
1,carnitas,2.4952388237327874e-47
2,carnitas,5.474573484217682e-52
